Unnamed: 0,Prompt,ROGUE_1,ROGUE_2,ROGUE_L,ROGUE_S,METEOR,BERTScore
323,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.71,0.56,0.71,0.44,0.74,0.95
324,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.7,0.54,0.7,0.41,0.73,0.95
325,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.",0.72,0.57,0.72,0.47,0.76,0.95
326,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.72,0.54,0.71,0.42,0.73,0.95
327,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.71,0.54,0.71,0.44,0.73,0.95
328,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.",0.74,0.58,0.74,0.49,0.78,0.96
329,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.72,0.58,0.72,0.45,0.77,0.95
330,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.74,0.61,0.74,0.51,0.79,0.95
331,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.",0.7,0.55,0.7,0.45,0.74,0.95
332,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.71,0.55,0.71,0.44,0.74,0.95
333,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.73,0.57,0.73,0.43,0.76,0.95
334,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.",0.72,0.56,0.72,0.43,0.76,0.95
335,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.74,0.59,0.74,0.48,0.78,0.95
336,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.7,0.52,0.69,0.42,0.75,0.95
337,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.72,0.56,0.72,0.47,0.76,0.95
338,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.71,0.54,0.7,0.44,0.76,0.95
339,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.",0.69,0.52,0.68,0.4,0.74,0.95
340,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.72,0.56,0.72,0.46,0.78,0.95
341,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.",0.7,0.54,0.7,0.44,0.77,0.95
342,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.73,0.57,0.72,0.48,0.78,0.95
343,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.7,0.53,0.69,0.42,0.76,0.95
344,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.71,0.54,0.71,0.43,0.75,0.95
345,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.71,0.54,0.7,0.44,0.75,0.95
346,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.69,0.53,0.68,0.41,0.74,0.95
347,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.",0.71,0.55,0.7,0.43,0.75,0.95
348,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.7,0.53,0.69,0.42,0.75,0.95
