PromptNumber,ValidationSetNumber,Prompt,Response,GT,Coding-Author1,Coding - Author2,Reconciled,Remarks-Author1,Remarks-Author2,Disagreement ( 0 for no disagreement | 1 for disagreement),Final-Coding,Remark
0,41,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Each search result <tgr> gives </tgr> the specified location with reviews of each location.",Search result gives specified location with reviews.,App gives search result and location and reviews.,0,0,0,Subject of the action is missing,subject is predicted incorrectly.,0,5,
0,42,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: On this page, I can <tgr> check </tgr> all the items that are on my list to get cashback.",User checks all items on their list to get cashback.,User checks items that are on their list to get cashback.,1,1,1,Same context but phrased it different (Modifier),prediction has additional information. ,0,1,
0,43,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: For example, I have the Wyze weight scale and the Wyze watch but still am required to manually <tgr> enter </tgr> my weight in the health data despite even within this same app if I go to the scale it automatically updates when I am on the scale.",User enters weight manually.,User enters weight in the health data.,1,0,,Extra token generated (UI Component),Prediction is missing UI component,1,7,
0,44,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: I use this to help supplement and be on <tgr> track </tgr> with my fitness goals which include walking a certain amount of steps in a day and the amount of calories i am burning while making sure my heart rate is optimal.","User uses this to be on track with their fitness goals, including walking a certain amount of steps in a day and ensuring an optimal heart rate.",User tracks fitness goals and walking and steps and amount of calories and heart rate.,0,0,0,Extra token generated,prediction has a different verb,0,5,
0,45,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: This page opens and is accessible after an order is completed to <tgr> show </tgr> me what items had been replaced or refunded, because they were not available at the time.",Page shows what items had been replaced or refunded.,App shows items had been replaced or refunded.,1,0,0,Subject of the action is wrong,subject is predicted incorrectly.,1,5,
0,46,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Gender <tgr> lets the app know </tgr> the app know if I'm male or female and gives me a weight-loss goal based on the gender.",Gender lets the app know if user is male or female.,User lets the app know Gender.,1,0,0,Subject of the action is wrong,subject is predicted incorrectly.,1,5,
0,47,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: I want them to <tgr> ask for </tgr> for my permission each time for my camera and my microphone in case I want to make a tik tok or try a filter.",User asks for permission for camera and microphone.,App asks for permission and camera and microphone to make a tik tok or try a filter.,0,0,0,Subject of the action is wrong,subject is predicted incorrectly.,0,5,
0,48,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: The app <tgr> scan </tgr> the meal or barcode to food items.",App scans the meal or barcode to food items.,App scans meal and barcode to food items.,1,1,1,Exactly same,,0,0,
0,49,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: I can <tgr> renew </tgr> books I've already borrowed.",User renews books they've already borrowed.,User renews books.,1,1,1,Infotype has added information to the information type,prediction has additional information. ,0,1,
0,50,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nAccording to the instructions and samples provided above, summarize the following input. Ensure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: I then hit the Tracking `` on'' button and it will begin to <tgr> display </tgr> my location on a map on the url that is entered on this page.",App displays my location on a map on the entered URL.,App displays location on a map on the url.,1,1,1,Infotype has added information to the information type,,0,1,
,,,,,,,,,,14,,
